Onset_Time;Offset_Time;Single gaze;Avert;Refer;Follow;Share;Mutual;Supporting behavior;Transcript
00:06:43.28;00:06:57.16;;;;;Share - CT;;;
00:06:57.16;00:06:57.60;;Avert - CT;;;;;;
00:06:57.60;00:07:01.20;;;;;Share - CT;;;
00:07:01.16;00:07:01.24;;Avert - CT;;;;;;
00:07:01.24;00:07:08.60;Single gaze - C;;;;;;;
00:07:12.76;00:07:18.88;Single gaze - C;;;;;;;
00:07:17.16;00:07:18.00;;;;;;;Supporting behavior- T;
00:07:19.72;00:07:20.76;Single gaze - C;;;;;;;
00:07:20.12;00:07:21.84;;;;;;;Supporting behavior- T;
00:07:20.80;00:07:21.28;;;;;Share - CT;;;
00:07:21.24;00:07:21.28;;Avert - CT;;;;;;
00:07:21.28;00:07:21.84;Single gaze - C;;;;;;;
00:07:27.16;00:07:29.76;Single gaze - C;;;;;;;
00:07:30.60;00:07:32.12;Single gaze - C;;;;;;;
00:07:32.16;00:07:32.20;;;Refer - CT;;;;;
00:07:32.24;00:07:32.44;;;;Follow - T;;;;
00:07:32.48;00:07:34.16;;;;;Share - CT;;;
00:07:34.12;00:07:36.08;;Avert - CT;;;;;;
00:07:36.12;00:07:39.16;;;;;Share - CT;;;
00:07:39.16;00:07:39.64;;Avert - CT;;;;;;
00:07:39.64;00:07:41.64;Single gaze - C;;;;;;;
00:07:45.52;00:07:48.32;Single gaze - C;;;;;;;
00:07:48.24;00:07:48.28;;;Refer - P;;;;;
00:07:48.28;00:07:48.32;;;;Follow - CP;;;;
00:07:48.28;00:07:49.84;;;;;;;Supporting behavior- - P;
00:07:48.32;00:07:49.64;;;;;Share - CP;;;
00:07:49.64;00:07:49.68;;Avert - CP;;;;;;
00:07:49.68;00:07:51.12;;;;;Share - CT;;;
00:07:51.12;00:07:51.44;;Avert - CT;;;;;;
00:07:51.44;00:07:52.20;Single gaze - C;;;;;;;
00:07:52.20;00:07:53.56;;;;;;Mutual - CP;;
00:07:53.56;00:07:53.60;;Avert - CP;;;;;;
00:07:53.64;00:08:12.56;Single gaze - C;;;;;;;
00:08:01.08;00:08:05.40;;;Refer - P;;;;;
00:08:01.08;00:08:05.40;;;;;;;Supporting behavior- - P;
00:08:12.60;00:08:14.88;;;;;Share - CT;;;
00:08:14.88;00:08:32.76;Single gaze - C;;;;;;;
00:08:32.20;00:08:32.76;;;Refer - P;;;;;
00:08:32.48;00:08:33.52;;;;;;;Supporting behavior- - P;
00:08:32.80;00:08:35.12;;;;;Share - CT;;;
00:08:35.12;00:08:35.16;;Avert - CT;;;;;;
00:08:35.16;00:08:37.84;Single gaze - C;;;;;;;
00:08:37.88;00:08:37.96;;;;;Share - CT;;;
00:08:37.96;00:08:40.48;;Avert - CT;;;;;;
00:08:40.48;00:08:42.84;Single gaze - C;;;;;;;
00:08:42.84;00:08:43.08;;;;;;Mutual - CT;;
00:08:43.08;00:08:43.96;;Avert - CT;;;;;;
00:08:44.00;00:08:52.12;Single gaze - C;;;;;;;
00:08:52.16;00:08:58.44;;;;;Share - CT;;;
00:08:58.44;00:08:58.80;;Avert - CT;;;;;;
00:08:58.84;00:09:05.28;;;;;Share - CT;;;
00:09:05.24;00:09:05.60;;Avert - CT;;;;;;
00:09:05.60;00:09:06.00;;;;;;Mutual - CP;;
00:09:06.00;00:09:06.04;;Avert - P;;;;;;
00:09:06.04;00:09:06.24;;;Refer - P;;;;;
00:09:06.04;00:09:06.40;;;;;;;Supporting behavior- - P;
00:09:06.20;00:09:06.48;;;;Follow - CP;;;;
00:09:06.52;00:09:42.04;;;;;Share - CP;;;
00:09:06.56;00:09:42.04;;;;;Share - CT;;;
00:09:10.20;00:09:10.24;;Avert - P;;;;;;
00:09:42.08;00:09:42.80;;Avert - CT;;;;;;
00:09:42.84;00:09:42.96;;;;;;Mutual - CP;;
00:09:42.96;00:09:43.36;;Avert - CP;;;;;;
00:09:43.40;00:09:44.88;Single gaze - C;;;;;;;
00:09:44.92;00:09:49.72;;;;;Share - CT;;;
00:09:49.72;00:09:50.28;;Avert - CT;;;;;;
00:09:50.28;00:10:00.12;Single gaze - C;;;;;;;
00:09:52.36;00:10:05.36;;;;;;;Supporting behavior- T;
00:09:59.28;00:10:00.12;;;Refer -T;;;;;
00:10:00.04;00:10:00.12;;;;Follow - CT;;;;
00:10:00.12;00:10:02.40;;;;;Share - CT;;;
00:10:02.36;00:10:02.92;;Avert - CT;;;;;;
00:10:02.96;00:10:04.24;Single gaze - C;;;;;;;
00:10:04.28;00:10:05.12;;;;;Share - CT;;;
00:10:05.08;00:10:05.12;;Avert -T;;;;;;
00:10:05.08;00:10:06.00;Single gaze - C;;;;;;;
00:10:06.00;00:10:15.76;;;;;Share - CT;;;
00:10:15.72;00:10:16.56;;Avert - CT;;;;;;
00:10:16.56;00:10:17.12;;;;;;Mutual - CP;;
00:10:17.16;00:10:18.00;Single gaze - C;;;;;;;
00:10:18.04;00:10:19.20;;;;;;Mutual - CP;;
00:10:19.16;00:10:19.44;;Avert - P;;;;;;
00:10:19.16;00:10:34.24;Single gaze - C;;;;;;;
00:10:33.44;00:10:34.60;;;Refer - P;;;;;
00:10:33.84;00:10:35.48;;;;;;;Supporting behavior- - P;
00:10:34.28;00:10:34.56;;;;Follow - CP;;;;
00:10:34.60;00:10:38.36;Single gaze - C;;;;;;;
00:10:38.44;00:10:40.60;;;;;;Mutual - CP;;
00:10:40.56;00:10:40.64;;Avert - CP;;;;;;
00:10:40.64;00:10:50.24;Single gaze - C;;;;;;;
00:10:50.28;00:10:51.16;;;;;Share - CT;;;
00:10:51.20;00:10:51.24;;Avert - CT;;;;;;
00:10:51.28;00:10:58.48;Single gaze - C;;;;;;;
00:10:58.52;00:10:59.60;;;;;;Mutual - CP;;
00:10:59.60;00:10:59.64;;Avert - CP;;;;;;
00:10:59.68;00:11:08.12;Single gaze - C;;;;;;;
00:11:08.16;00:11:11.20;;;;;;Mutual - CP;;
00:11:11.20;00:11:11.52;;Avert - CP;;;;;;
